,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
741,1351410,WHS3_57,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,1,1.0,,,,2024-07-12T15:55:34.113+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
742,1352204,WHS3_57,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,,,2004,,,,,,,120,120.0,,,,2024-07-12T15:55:34.113+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
743,1352934,WHS3_57,COUNTRY,RWA,AFR,YEAR,Africa,,,2009,,,,,,,34,34.0,,,,2024-07-12T15:55:34.113+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
744,1355034,WHS3_57,COUNTRY,RUS,EUR,YEAR,Europe,,,2004,,,,,,,146 220,146220.0,,,,2024-07-12T15:55:34.113+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
745,1355631,WHS3_57,COUNTRY,BRN,WPR,YEAR,Western Pacific,,,2019,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
746,1356011,WHS3_57,COUNTRY,SYC,AFR,YEAR,Africa,,,2019,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
747,1359142,WHS3_57,REGION,SEAR,,YEAR,,,,2012,,,,,,,6877,6877.0,,,,2024-07-12T15:55:34.113+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
748,1359176,WHS3_57,COUNTRY,SWE,EUR,YEAR,Europe,,,2023,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
749,1360578,WHS3_57,COUNTRY,IDN,SEAR,YEAR,South-East Asia,,,2006,,,,,,,105,105.0,,,,2024-07-12T15:55:34.113+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
750,1365416,WHS3_57,COUNTRY,THA,SEAR,YEAR,South-East Asia,,,1999,,,,,,,856,856.0,,,,2024-07-12T15:55:34.113+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
751,1365654,WHS3_57,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,2021,,,,,,,46,46.0,,,,2024-07-12T15:55:34.113+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
752,1366250,WHS3_57,COUNTRY,EST,EUR,YEAR,Europe,,,2011,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
753,1366786,WHS3_57,COUNTRY,KIR,WPR,YEAR,Western Pacific,,,2007,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
754,1367048,WHS3_57,COUNTRY,SAU,EMR,YEAR,Eastern Mediterranean,,,2007,,,,,,,32,32.0,,,,2024-07-12T15:55:34.113+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
755,1368362,WHS3_57,COUNTRY,PLW,WPR,YEAR,Western Pacific,,,2015,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
756,1374046,WHS3_57,COUNTRY,KIR,WPR,YEAR,Western Pacific,,,2017,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
757,1374417,WHS3_57,COUNTRY,THA,SEAR,YEAR,South-East Asia,,,2015,,,,,,,240,240.0,,,,2024-07-12T15:55:34.113+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
