,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3666,3030973,WHS3_41,COUNTRY,MLI,AFR,YEAR,Africa,,,1984,,,,,,,29,29.0,,,,2024-07-12T15:46:58.707+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
3667,3033110,WHS3_41,COUNTRY,ECU,AMR,YEAR,Americas,,,1986,,,,,,,11,11.0,,,,2024-07-12T15:46:58.707+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
3668,3033163,WHS3_41,COUNTRY,GMB,AFR,YEAR,Africa,,,2006,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
3669,3033687,WHS3_41,COUNTRY,CHN,WPR,YEAR,Western Pacific,,,1995,,,,,,,85,85.0,,,,2024-07-12T15:46:58.707+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
3670,3034082,WHS3_41,COUNTRY,DOM,AMR,YEAR,Americas,,,2016,,,,,,,3,3.0,,,,2024-07-12T15:46:58.707+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3671,3036684,WHS3_41,COUNTRY,PRK,SEAR,YEAR,South-East Asia,,,2009,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
3672,3037055,WHS3_41,COUNTRY,BOL,AMR,YEAR,Americas,,,2009,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
3673,3037796,WHS3_41,COUNTRY,GRD,AMR,YEAR,Americas,,,1988,,,,,,,1,1.0,,,,2024-07-12T15:46:58.707+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
3674,3038306,WHS3_41,COUNTRY,COG,AFR,YEAR,Africa,,,1980,,,,,,,2,2.0,,,,2024-07-12T15:46:58.707+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
3675,3038689,WHS3_41,COUNTRY,KNA,AMR,YEAR,Americas,,,2015,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3676,3039166,WHS3_41,COUNTRY,RUS,EUR,YEAR,Europe,,,2013,,,,,,,2,2.0,,,,2024-07-12T15:46:58.707+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
