,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1944,7050669,CHOLERA_0000000001,COUNTRY,NGA,YEAR,AFR,Africa,,,1976,,,,,,,112,,,,,2013-06-11T14:04:28+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
1945,7050776,CHOLERA_0000000001,COUNTRY,KAZ,YEAR,EUR,Europe,,,1995,,,,,,,16,,,,,2013-06-11T14:04:28+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
1946,7051533,CHOLERA_0000000001,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,1992,,,,,,,6911,,,,,2013-06-11T14:04:28+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
1947,7052699,CHOLERA_0000000001,COUNTRY,MLI,YEAR,AFR,Africa,,,1973,,,,,,,219,,,,,2013-06-11T14:04:28+02:00,1973,1973-01-01T00:00:00+01:00,1973-12-31T00:00:00+01:00
1948,7056673,CHOLERA_0000000001,COUNTRY,NPL,YEAR,SEAR,South-East Asia,,,1994,,,,,,,32,,,,,2013-06-11T14:04:28+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
1949,7058014,CHOLERA_0000000001,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,,,1960,,,,,,,6704,,,,,2013-06-11T14:04:28+02:00,1960,1960-01-01T00:00:00+01:00,1960-12-31T00:00:00+01:00
1950,7068631,CHOLERA_0000000001,COUNTRY,CHN,YEAR,WPR,Western Pacific,,,2009,,,,,,,85,,,,,2013-06-11T14:04:28+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
1951,7069745,CHOLERA_0000000001,COUNTRY,GTM,YEAR,AMR,Americas,,,1994,,,,,,,5282,,,,,2013-06-11T14:04:28+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
1952,7072644,CHOLERA_0000000001,COUNTRY,MOZ,YEAR,AFR,Africa,,,1982,,,,,,,2301,,,,,2013-06-11T14:04:28+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
1953,7076718,CHOLERA_0000000001,COUNTRY,BGD,YEAR,SEAR,South-East Asia,,,1954,,,,,,,15617,,,,,2013-06-11T14:04:28+02:00,1954,1954-01-01T00:00:00+01:00,1954-12-31T00:00:00+01:00
1954,7079630,CHOLERA_0000000001,COUNTRY,SDN,YEAR,EMR,Eastern Mediterranean,,,2007,,,,,,,13731,,,,,2013-06-11T14:04:28+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1955,7079705,CHOLERA_0000000001,COUNTRY,AGO,YEAR,AFR,Africa,,,1992,,,,,,,3608,,,,,2013-06-11T14:04:28+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
1956,7079745,CHOLERA_0000000001,COUNTRY,NZL,YEAR,WPR,Western Pacific,,,1972,,,,,,,3,,,,,2013-06-11T14:04:28+02:00,1972,1972-01-01T00:00:00+01:00,1972-12-31T00:00:00+01:00
1957,7079929,CHOLERA_0000000001,COUNTRY,VNM,YEAR,WPR,Western Pacific,,,1995,,,,,,,6088,,,,,2013-06-11T14:04:28+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
1958,7081799,CHOLERA_0000000001,COUNTRY,ESP,YEAR,EUR,Europe,,,1976,,,,,,,2,,,,,2013-06-11T14:04:28+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
1959,7081881,CHOLERA_0000000001,COUNTRY,USA,YEAR,AMR,Americas,,,2014,,,,,,,7,7.0,,,,2015-10-02T09:47:54+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1960,7087202,CHOLERA_0000000001,COUNTRY,MMR,YEAR,SEAR,South-East Asia,,,2012,,,,,,,174,174.0,,,,2013-10-03T09:18:20+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1961,7089575,CHOLERA_0000000001,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,,,1972,,,,,,,303,,,,,2013-06-11T14:04:28+02:00,1972,1972-01-01T00:00:00+01:00,1972-12-31T00:00:00+01:00
1962,7090592,CHOLERA_0000000001,COUNTRY,CMR,YEAR,AFR,Africa,,,1981,,,,,,,243,,,,,2013-06-11T14:04:28+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
1963,7091016,CHOLERA_0000000001,COUNTRY,CIV,YEAR,AFR,Africa,,,1982,,,,,,,34,,,,,2013-06-11T14:04:28+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
1964,7091479,CHOLERA_0000000001,COUNTRY,RUS,YEAR,EUR,Europe,,,1999,,,,,,,8,,,,5 of 8 reported cases are imported.,2013-06-11T14:04:28+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
1965,7097443,CHOLERA_0000000001,COUNTRY,DZA,YEAR,AFR,Africa,,,1973,,,,,,,605,,,,,2013-06-11T14:04:28+02:00,1973,1973-01-01T00:00:00+01:00,1973-12-31T00:00:00+01:00
1966,7098174,CHOLERA_0000000001,COUNTRY,GHA,YEAR,AFR,Africa,,,2014,,,,,,,28944,28944.0,,,,2015-10-02T09:47:53+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1967,7102832,CHOLERA_0000000001,COUNTRY,NPL,YEAR,SEAR,South-East Asia,,,1966,,,,,,,2,,,,,2013-06-11T14:04:28+02:00,1966,1966-01-01T00:00:00+01:00,1966-12-31T00:00:00+01:00
1968,7103190,CHOLERA_0000000001,COUNTRY,MYS,YEAR,WPR,Western Pacific,,,2006,,,,,,,237,,,,,2013-06-11T14:04:28+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1969,7103774,CHOLERA_0000000001,COUNTRY,TGO,YEAR,AFR,Africa,,,2004,,,,,,,1080,,,,,2013-06-11T14:04:28+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1970,7106117,CHOLERA_0000000001,COUNTRY,PHL,YEAR,WPR,Western Pacific,,,2013,,,,,,,6,6.0,,,,2014-08-29T13:48:24+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1971,7106956,CHOLERA_0000000001,COUNTRY,CHN,YEAR,WPR,Western Pacific,,,1963,,,,,,,1,,,,,2013-06-11T14:04:28+02:00,1963,1963-01-01T00:00:00+01:00,1963-12-31T00:00:00+01:00
