,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1544,2085428,WHS3_49,COUNTRY,ESP,YEAR,EUR,Europe,,2004,,,,,,,,0,0.0,,,,2019-09-11T08:29:21+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1545,2087465,WHS3_49,COUNTRY,CRI,YEAR,AMR,Americas,,1999,,,,,,,,0,0.0,,,,2019-09-11T08:27:59+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
1546,2089207,WHS3_49,COUNTRY,BDI,YEAR,AFR,Africa,,1984,,,,,,,,46,46.0,,,,2019-09-11T08:27:50+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
1547,1958685,WHS3_49,COUNTRY,QAT,YEAR,EMR,Eastern Mediterranean,,1986,,,,,,,,0,0.0,,,,2019-09-11T08:29:06+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
1548,2014787,WHS3_49,COUNTRY,CRI,YEAR,AMR,Americas,,2001,,,,,,,,0,0.0,,,,2019-09-11T08:27:59+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1549,2095167,WHS3_49,COUNTRY,QAT,YEAR,EMR,Eastern Mediterranean,,1996,,,,,,,,0,0.0,,,,2019-09-11T08:29:06+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
1550,2015134,WHS3_49,COUNTRY,BEN,YEAR,AFR,Africa,,2010,,,,,,,,0,0.0,,,,2019-09-11T08:27:43+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1551,2022972,WHS3_49,COUNTRY,EST,YEAR,EUR,Europe,,2003,,,,,,,,0,0.0,,,,2019-09-11T08:28:09+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1552,2095976,WHS3_49,COUNTRY,ATG,YEAR,AMR,Americas,,2001,,,,,,,,0,0.0,,,,2019-09-11T08:27:35+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1553,2028221,WHS3_49,COUNTRY,GRC,YEAR,EUR,Europe,,2005,,,,,,,,0,0.0,,,,2019-09-11T08:28:16+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1554,2101800,WHS3_49,COUNTRY,GTM,YEAR,AMR,Americas,,2017,,,,,,,,0,0.0,,,,2019-09-11T08:28:17+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1555,2101865,WHS3_49,COUNTRY,ISL,YEAR,EUR,Europe,,1994,,,,,,,,0,0.0,,,,2019-09-11T08:28:22+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
1556,2028850,WHS3_49,COUNTRY,GRD,YEAR,AMR,Americas,,2002,,,,,,,,0,0.0,,,,2019-09-11T08:28:17+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1557,2103480,WHS3_49,COUNTRY,TCD,YEAR,AFR,Africa,,2002,,,,,,,,0,0.0,,,,2019-09-11T08:27:54+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1558,2104043,WHS3_49,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,,2010,,,,,,,,0,0.0,,,,2019-09-11T08:28:25+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1559,2105274,WHS3_49,COUNTRY,HUN,YEAR,EUR,Europe,,1989,,,,,,,,0,0.0,,,,2019-09-11T08:28:22+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
1560,2029859,WHS3_49,COUNTRY,GEO,YEAR,EUR,Europe,,2000,,,,,,,,0,0.0,,,,2019-09-11T08:28:14+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1561,2030242,WHS3_49,COUNTRY,AND,YEAR,EUR,Europe,,2001,,,,,,,,0,0.0,,,,2019-09-11T08:27:34+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1562,2109702,WHS3_49,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,,1992,,,,,,,,18,18.0,,,,2019-09-11T08:28:30+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
1563,2110041,WHS3_49,COUNTRY,MDV,YEAR,SEAR,South-East Asia,,1988,,,,,,,,0,0.0,,,,2019-09-11T08:28:41+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
1564,2039147,WHS3_49,COUNTRY,ZWE,YEAR,AFR,Africa,,2005,,,,,,,,0,0.0,,,,2019-09-11T08:29:40+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1565,2110746,WHS3_49,COUNTRY,PER,YEAR,AMR,Americas,,1982,,,,,,,,215,215.0,,,,2019-09-11T08:29:03+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
1566,2040113,WHS3_49,REGION,EUR,YEAR,,,,1985,,,,,,,,102,102.0,,,,2019-09-11T08:29:43+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
1567,2040807,WHS3_49,REGION,EUR,YEAR,,,,2012,,,,,,,,0,0.0,,,,2019-09-11T08:29:43+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
