,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1968,6417665,MALARIA_CONF_CASES,GLOBAL,GLOBAL,,YEAR,,,2017,,,,,,,,138 845 276,138845276.0,,,,2023-05-10T14:48:02+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1969,6421305,MALARIA_CONF_CASES,REGION,WPR,,YEAR,,,2008,,,,,,,,275 379,275379.0,,,,2023-05-10T14:48:13+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
1970,6425179,MALARIA_CONF_CASES,COUNTRY,DOM,AMR,YEAR,Americas,,2000,,,,,,,,1 233,1233.0,,,,2023-05-10T14:47:56+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1971,6425205,MALARIA_CONF_CASES,COUNTRY,KEN,AFR,YEAR,Africa,,2017,,,,,,,,3 607 026,3607026.0,,,,2023-05-10T14:48:23+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1972,6425513,MALARIA_CONF_CASES,COUNTRY,DOM,AMR,YEAR,Americas,,2007,,,,,,,,2 711,2711.0,,,,2023-05-10T14:48:15+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1973,6427355,MALARIA_CONF_CASES,COUNTRY,IRN,EMR,YEAR,Eastern Mediterranean,,2015,,,,,,,,799,799.0,,,,2023-05-10T14:48:16+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1974,6428959,MALARIA_CONF_CASES,COUNTRY,MLI,AFR,YEAR,Africa,,2015,,,,,,,,2 454 508,2454508.0,,,,2023-05-10T14:48:18+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1975,6430344,MALARIA_CONF_CASES,COUNTRY,NAM,AFR,YEAR,Africa,,2016,,,,,,,,24 869,24869.0,,,,2023-05-10T14:48:07+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1976,6434654,MALARIA_CONF_CASES,COUNTRY,SAU,EMR,YEAR,Eastern Mediterranean,,2016,,,,,,,,5 382,5382.0,,,,2023-05-10T14:48:18+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1977,6436037,MALARIA_CONF_CASES,COUNTRY,TJK,EUR,YEAR,Europe,,2004,,,,,,,,3 588,3588.0,,,,2023-05-10T14:48:12+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1978,6438300,MALARIA_CONF_CASES,COUNTRY,ZAF,AFR,YEAR,Africa,,2014,,,,,,,,11 705,11705.0,,,,2023-05-10T14:48:18+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1979,6440906,MALARIA_CONF_CASES,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,,2013,,,,,,,,592 383,592383.0,,,,2023-05-10T14:48:15+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
