,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6115,1941051,WHS3_43,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,,2005,,,,,,,,1050,1050.0,,,,2024-07-12T15:46:58.707+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6116,1941464,WHS3_43,COUNTRY,NOR,YEAR,EUR,Europe,,2017,,,,,,,,2424,2424.0,,,,2024-07-12T15:46:58.707+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6117,1941475,WHS3_43,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,,1986,,,,,,,,36,36.0,,,,2024-07-12T15:46:58.707+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
6118,1942235,WHS3_43,WORLDBANKINCOMEGROUP,WB_UMI,YEAR,,,,2000,,,,,,,,12 436,12436.0,,,,2024-07-12T15:46:58.707+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
6119,1942685,WHS3_43,COUNTRY,CAN,YEAR,AMR,Americas,,2010,,,,,,,,759,759.0,,,,2024-07-12T15:46:58.707+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6120,1948273,WHS3_43,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,,1997,,,,,,,,80,80.0,,,,2024-07-12T15:46:58.707+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
6121,1956461,WHS3_43,COUNTRY,JAM,YEAR,AMR,Americas,,1974,,,,,,,,163,163.0,,,,2024-07-12T15:46:58.707+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
6122,1961745,WHS3_43,COUNTRY,FSM,YEAR,WPR,Western Pacific,,1991,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
6123,1962512,WHS3_43,COUNTRY,JPN,YEAR,WPR,Western Pacific,,1996,,,,,,,,183,183.0,,,,2024-07-12T15:46:58.707+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
6124,1962523,WHS3_43,REGION,EMR,YEAR,,,,1981,,,,,,,,173 430,173430.0,,,,2024-07-12T15:46:58.707+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
6125,1963077,WHS3_43,COUNTRY,PRK,YEAR,SEAR,South-East Asia,,2005,,,,,,,,493,493.0,,,,2024-07-12T15:46:58.707+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6126,1968861,WHS3_43,COUNTRY,MLT,YEAR,EUR,Europe,,1989,,,,,,,,3,3.0,,,,2024-07-12T15:46:58.707+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
6127,1969616,WHS3_43,COUNTRY,GNQ,YEAR,AFR,Africa,,2015,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
