,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2644,5828270,WHS3_45,COUNTRY,KIR,YEAR,WPR,Western Pacific,,,2016,,,,,,,218,218.0,,,,2019-10-11T13:32:25+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2645,5830012,WHS3_45,COUNTRY,KNA,YEAR,AMR,Americas,,,2006,,,,,,,No data,,,,,2019-10-11T14:14:58+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
2646,5830476,WHS3_45,COUNTRY,LBY,YEAR,EMR,Eastern Mediterranean,,,2016,,,,,,,8,8.0,,,,2019-10-11T13:32:23+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2647,5832928,WHS3_45,COUNTRY,LBY,YEAR,EMR,Eastern Mediterranean,,,2018,,,,,,,5,5.0,,,,2019-10-07T13:37:51+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
2648,5833161,WHS3_45,COUNTRY,NZL,YEAR,WPR,Western Pacific,,,2012,,,,,,,1,1.0,,,,2019-10-11T14:09:19+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
2649,5833284,WHS3_45,COUNTRY,BHS,YEAR,AMR,Americas,,,2016,,,,,,,0,0.0,,,,2019-10-11T13:32:22+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2650,5833619,WHS3_45,COUNTRY,HTI,YEAR,AMR,Americas,,,2007,,,,,,,29,29.0,,,,2019-10-11T14:15:06+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
2651,5834601,WHS3_45,COUNTRY,BGR,YEAR,EUR,Europe,,,2014,,,,,,,No data,,,,,2019-10-11T13:32:15+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2652,5838649,WHS3_45,COUNTRY,TKM,YEAR,EUR,Europe,,,2016,,,,,,,No data,,,,,2019-10-11T13:32:27+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2653,5839475,WHS3_45,COUNTRY,GEO,YEAR,EUR,Europe,,,2012,,,,,,,No data,,,,,2019-10-11T14:15:12+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
2654,5840079,WHS3_45,COUNTRY,KEN,YEAR,AFR,Africa,,,2013,,,,,,,No data,,,,,2019-10-11T14:09:21+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
