,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8336,7169003,WHS3_46,COUNTRY,SGP,YEAR,WPR,Western Pacific,,,2008,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
8337,7171417,WHS3_46,COUNTRY,ETH,YEAR,AFR,Africa,,,1983,,,,,,,816,816.0,,,,2024-07-12T15:49:00.303+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
8338,7171643,WHS3_46,COUNTRY,LBR,YEAR,AFR,Africa,,,2022,,,,,,,12,12.0,,,,2024-07-12T15:49:00.303+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
8339,7172288,WHS3_46,COUNTRY,NIC,YEAR,AMR,Americas,,,1992,,,,,,,21,21.0,,,,2024-07-12T15:49:00.303+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
8340,7173563,WHS3_46,COUNTRY,MSR,YEAR,AMR,Americas,,,1981,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
8341,7173841,WHS3_46,COUNTRY,AUS,YEAR,WPR,Western Pacific,,,2017,,,,,,,4,4.0,,,,2024-07-12T15:49:00.303+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
8342,7174073,WHS3_46,COUNTRY,PHL,YEAR,WPR,Western Pacific,,,1980,,,,,,,3080,3080.0,,,,2024-07-12T15:49:00.303+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
8343,7174733,WHS3_46,COUNTRY,EST,YEAR,EUR,Europe,,,2008,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
8344,7175032,WHS3_46,COUNTRY,TKM,YEAR,EUR,Europe,,,1996,,,,,,,1,1.0,,,,2024-07-12T15:49:00.303+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
8345,7175558,WHS3_46,WORLDBANKINCOMEGROUP,WB_HI,YEAR,,,,,1980,,,,,,,1792,1792.0,,,,2024-07-12T15:49:00.303+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
8346,7177899,WHS3_46,COUNTRY,GTM,YEAR,AMR,Americas,,,2010,,,,,,,2,2.0,,,,2024-07-12T15:49:00.303+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
8347,7179476,WHS3_46,COUNTRY,GBR,YEAR,EUR,Europe,,,1993,,,,,,,8,8.0,,,,2024-07-12T15:49:00.303+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
8348,7180536,WHS3_46,COUNTRY,SMR,YEAR,EUR,Europe,,,1999,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
8349,7183174,WHS3_46,COUNTRY,MSR,YEAR,AMR,Americas,,,1996,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
8350,7183290,WHS3_46,COUNTRY,NRU,YEAR,WPR,Western Pacific,,,1999,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
